"tecnologia","funcao","cnae_26","media_industria","diferenca_cnae26_media_pp"
"Big Data","administracao",51.7,39.9,11.8
"Cloud","administracao",40.8,43,-2.2
"IA","administracao",10.8,14.4,-3.6
"IoT","administracao",32.3,32.2,0.1
"Manufatura aditiva","administracao",51.4,20.7,30.7
"Robótica","administracao",0,24.8,-24.8
"Big Data","producao",58.7,28.1,30.6
"Cloud","producao",23.3,27,-3.7
"IA","producao",8.3,9.2,-0.9
"IoT","producao",18.4,18.9,-0.5
"Manufatura aditiva","producao",8.1,12.7,-4.6
"Robótica","producao",32.5,21.5,11
"Big Data","projeto",36.7,20.2,16.5
"Cloud","projeto",27,32.3,-5.3
"IA","projeto",27.6,10.5,17.1
"IoT","projeto",23.9,24.5,-0.6
"Manufatura aditiva","projeto",20.2,19.4,0.8
"Robótica","projeto",30.2,13.8,16.4
