"tecnologia","recorte","projeto","producao","logistica","administracao","comercializacao","asimetria_admin_producao_pp"
"Big Data","cnae_26",33,19.6,20.6,24.5,32,4.9
"Big Data","media_industria",23.8,23.5,22.1,25.2,24.5,1.7
"Cloud","cnae_26",84.9,67.7,67.8,80.8,80.8,13.1
"Cloud","media_industria",59.7,56.3,57.9,73.3,63.7,17
"IA","cnae_26",60.2,27.3,28.8,63.7,53.7,36.4
"IA","media_industria",30.6,21.8,21.6,36.8,31.5,15
"IoT","cnae_26",50.9,52.6,40.6,42.4,29.7,-10.2
"IoT","media_industria",34.1,41.2,32.9,36.3,31,-4.9
"Manufatura aditiva","cnae_26",45,34.7,6,4.4,5,-30.3
"Manufatura aditiva","media_industria",18.3,11.6,3.2,4,5.1,-7.6
"Robótica","cnae_26",24.2,36.6,9.1,0.6,0.6,-36
"Robótica","media_industria",16.9,28.3,10.9,8.6,6.9,-19.7
