"tecnologia","recorte","administracao","producao","projeto","abrangente_admin_producao_pp","abrangente_admin_projeto_pp","abrangente_projeto_producao_pp"
"Big Data","cnae_26",51.7,58.7,36.7,-7,15,-22
"Big Data","media_industria",39.9,28.1,20.2,11.8,19.7,-7.9
"Cloud","cnae_26",40.8,23.3,27,17.5,13.8,3.7
"Cloud","media_industria",43,27,32.3,16,10.7,5.3
"IA","cnae_26",10.8,8.3,27.6,2.5,-16.8,19.3
"IA","media_industria",14.4,9.2,10.5,5.2,3.9,1.3
"IoT","cnae_26",32.3,18.4,23.9,13.9,8.4,5.5
"IoT","media_industria",32.2,18.9,24.5,13.3,7.7,5.6
"Manufatura aditiva","cnae_26",51.4,8.1,20.2,43.3,31.2,12.1
"Manufatura aditiva","media_industria",20.7,12.7,19.4,8,1.3,6.7
"Robótica","cnae_26",0,32.5,30.2,-32.5,-30.2,-2.3
"Robótica","media_industria",24.8,21.5,13.8,3.3,11,-7.7
