"categoria_indicador","pct","recorte"
"Aumento da eficiência",90.3,"Média da indústria"
"Redução do impacto ambiental",74.1,"Média da indústria"
"Melhoria no relacionamento
com clientes/fornecedores",85.6,"Média da indústria"
"Maior capacidade de desenv.
de produtos/serviços novos",74.7,"Média da indústria"
"Maior eficácia no
atendimento ao mercado",82.9,"Média da indústria"
"Maior flexibilidade
em processos",89.5,"Média da indústria"
"Entrada em novos mercados",43.8,"Média da indústria"
"Aumento da eficiência",96.3,"CNAE 26"
"Redução do impacto ambiental",80.5,"CNAE 26"
"Melhoria no relacionamento
com clientes/fornecedores",83.5,"CNAE 26"
"Maior capacidade de desenv.
de produtos/serviços novos",81.8,"CNAE 26"
"Maior eficácia no
atendimento ao mercado",92.3,"CNAE 26"
"Maior flexibilidade
em processos",72.7,"CNAE 26"
"Entrada em novos mercados",37.9,"CNAE 26"
