"tecnologia","categoria","asimetria_pp","par","media_asimetria","dp_asimetria","min_asimetria","max_asimetria","z_score","percentil","cv_administracao","cv_producao","cv_projeto","aviso_cv"
"Big Data","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",4.9,"admin_producao",2.3,4.2,-4.6,14.4,0.62,83,26.1020411464258,26.1772140416373,22.5132061318676,"CV alto"
"Big Data","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-8.5,"admin_projeto",0.6,4.4,-8.5,10.3,-2.07,8,26.1020411464258,26.1772140416373,22.5132061318676,"CV alto"
"Big Data","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",13.4,"projeto_producao",1.7,4,-5.8,13.4,2.93,100,26.1020411464258,26.1772140416373,22.5132061318676,"CV alto"
"Cloud","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",13.1,"admin_producao",16.7,3.4,10,22.9,-1.06,21,8.81772687184539,11.6994927636357,8.03044123796784,"OK"
"Cloud","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-4.1,"admin_projeto",12.3,7.5,-4.1,27.5,-2.19,4,8.81772687184539,11.6994927636357,8.03044123796784,"OK"
"Cloud","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",17.2,"projeto_producao",4.4,7.1,-12.1,18.9,1.8,96,8.81772687184539,11.6994927636357,8.03044123796784,"OK"
"IA","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",36.4,"admin_producao",15.1,8.5,-7,36.4,2.51,100,12.622803964764,24.1604263143563,13.6456994681161,"OK"
"IA","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",3.5,"admin_projeto",5.8,4.6,-4.4,15.8,-0.5,33,12.622803964764,24.1604263143563,13.6456994681161,"OK"
"IA","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",32.9,"projeto_producao",9.2,8.2,-2.6,32.9,2.89,100,12.622803964764,24.1604263143563,13.6456994681161,"OK"
"IoT","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-10.2,"admin_producao",-4.6,8,-23.4,11.1,-0.7,33,19.7001889213418,15.4966299774643,16.2712833085746,"OK"
"IoT","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-8.5,"admin_projeto",2,6.6,-9,13.8,-1.59,8,19.7001889213418,15.4966299774643,16.2712833085746,"OK"
"IoT","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-1.7,"projeto_producao",-6.6,6.6,-15.2,4.2,0.74,71,19.7001889213418,15.4966299774643,16.2712833085746,"OK"
"Manufatura aditiva","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-30.3,"admin_producao",-8.3,6.4,-30.3,0,-3.44,4,63.270994098989,22.4277355812209,18.019088031233,"CV alto"
"Manufatura aditiva","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-40.6,"admin_projeto",-16.1,12.9,-40.6,0.7,-1.9,4,63.270994098989,22.4277355812209,18.019088031233,"CV alto"
"Manufatura aditiva","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",10.3,"projeto_producao",7.8,9.8,-9,28.4,0.26,67,63.270994098989,22.4277355812209,18.019088031233,"OK"
"Robótica","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-36,"admin_producao",-19.7,9,-37.6,-6.2,-1.81,8,0,20.1433031873814,25.7980510369226,"OK"
"Robótica","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-23.6,"admin_projeto",-8.3,7.8,-25.9,2.1,-1.96,8,0,20.1433031873814,25.7980510369226,"CV alto"
"Robótica","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-12.4,"projeto_producao",-11.4,5.5,-23.9,-1.7,-0.18,38,0,20.1433031873814,25.7980510369226,"CV alto"
