"tecnologia","recorte","administracao","producao","projeto"
"Big Data","cnae_26",51.7,58.7,36.7
"Big Data","media_industria",39.9,28.1,20.2
"Cloud","cnae_26",40.8,23.3,27
"Cloud","media_industria",43,27,32.3
"IA","cnae_26",10.8,8.3,27.6
"IA","media_industria",14.4,9.2,10.5
"IoT","cnae_26",32.3,18.4,23.9
"IoT","media_industria",32.2,18.9,24.5
"Manufatura aditiva","cnae_26",51.4,8.1,20.2
"Manufatura aditiva","media_industria",20.7,12.7,19.4
"Robótica","cnae_26",0,32.5,30.2
"Robótica","media_industria",24.8,21.5,13.8
