"tecnologia","asimetria_admin_producao_pp","asimetria_admin_projeto_pp","asimetria_projeto_producao_pp","categoria","administracao","cv_administracao","producao","cv_producao","projeto","cv_projeto"
"Big Data",1.7,2.8,-1.1,"Fabricação de produtos alimentícios",22.5,15.5035448849827,20.8,16.3784248098806,19.7,16.7839199658852
"Big Data",1.6,0,1.6,"Fabricação de bebidas",32.2,26.9203047666479,30.6,28.5659124509379,32.2,26.9203047666479
"Big Data",9.1,4.6,4.5,"Fabricação de produtos do fumo",18.3,18.2818106031795,9.2,27.1163072273338,13.7,24.3757474709054
"Big Data",1.7,-0.4,2.1,"Fabricação de produtos têxteis",20.5,27.813762152141,18.8,29.9792407810585,20.9,28.2368989130206
"Big Data",0.5,1.9,-1.4,"Confecção de artigos do vestuário e acessórios",39.5,19.330625236812,39,19.6719279660534,37.6,20.3255248693482
"Big Data",4.5,1.8,2.7,"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",28.1,23.3358539810673,23.6,26.5308246116275,26.3,24.6980686229411
"Big Data",0.4,1.3,-0.9,"Fabricação de produtos de madeira",7,45.5039153182217,6.6,48.6004545319824,5.7,56.257030945418
"Big Data",0,-2,2,"Fabricação de celulose, papel e produtos de papel",22.7,25.0754038788335,22.7,25.7885076849612,24.7,24.3125996186443
"Big Data",2.7,-4,6.7,"Impressão e reprodução de gravações",27,24.5125231070776,24.3,25.341702402994,31,22.5837811223256
"Big Data",-3.9,0,-3.9,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",19.9,27.9890664960283,23.8,26.4123656718216,19.9,27.9890664960283
"Big Data",2.1,-1.3,3.4,"Fabricação de produtos químicos",41,15.5037528123443,38.9,16.0209396173952,42.3,15.0254165585874
"Big Data",14.4,10.3,4.1,"Fabricação de produtos farmoquímicos e farmacêuticos",38.8,19.19615973888,24.4,24.7734179044527,28.5,22.6747675423338
"Big Data",-1.9,0.9,-2.8,"Fabricação de artigos de borracha e plástico",13,28.9355751069595,14.9,27.4874891890027,12.1,28.6490406577734
"Big Data",-0.1,1.8,-1.9,"Fabricação de produtos de minerais não-metálicos",18.8,23.8832548997759,18.9,24.8071427870834,17,25.7098558905928
"Big Data",-4.6,-8.5,3.9,"Metalurgia",25.9,23.0929802587943,30.5,21.6440340337627,34.4,20.4987571714978
"Big Data",1.6,7.4,-5.8,"Fabricação de produtos de metal",24.6,22.1315027842887,23,22.189146695475,17.2,26.8271568526057
"Big Data",4.9,-8.5,13.4,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",24.5,26.1020411464258,19.6,26.1772140416373,33,22.5132061318676
"Big Data",9.6,6.2,3.4,"Fabricação de máquinas, aparelhos e materiais elétricos",31.1,18.1478367034219,21.5,22.4367095623786,24.9,20.0657501913031
"Big Data",5.3,3.4,1.9,"Fabricação de máquinas e equipamentos",36.2,14.9471494970026,30.9,17.009685761642,32.8,15.7728848180007
"Big Data",3.3,2.2,1.1,"Fabricação de veículos automotores, reboques e carrocerias",29.9,20.3256211008932,26.6,21.6105643609028,27.7,21.0544623166512
"Big Data",0.8,-5.4,6.2,"Fabricação de outros equipamentos de transporte",29,38.3032311470932,28.2,39.4280338816324,34.4,33.3077438976462
"Big Data",0.3,0.8,-0.5,"Fabricação de móveis",21,26.4078200030723,20.7,26.7392894327916,20.2,27.4278346212457
"Big Data",0,-1.5,1.5,"Fabricação de produtos diversos",24.5,27.6231091024021,24.5,27.6231091024021,26,26.1300344308847
"Big Data",0.6,0.3,0.3,"Manutenção, reparação e instalação de máquinas e equipamentos",5.3,52.4550320023754,4.7,58.8340179926658,5,55.4617061924983
"Cloud",15.7,17.7,-2,"Fabricação de produtos alimentícios",71.7,6.75703235528281,56,8.69118592142909,54,9.03620162401732
"Cloud",15.3,14,1.3,"Fabricação de bebidas",78.3,11.1666552352768,63,14.8373552149336,64.3,15.0455434256135
"Cloud",22.9,27.5,-4.6,"Fabricação de produtos do fumo",68.7,6.16663053417211,45.8,9.24994580125833,41.2,10.2777175569536
"Cloud",18,11.3,6.7,"Fabricação de produtos têxteis",71,9.73751988629822,53,13.9996974413105,59.7,12.4105010328943
"Cloud",16.4,9.6,6.8,"Confecção de artigos do vestuário e acessórios",78.4,9.78623662332403,62,13.2588771749274,68.8,11.7199281209226
"Cloud",21.9,3,18.9,"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",64.7,11.8283997901748,42.8,17.711964306139,61.7,12.5856285652165
"Cloud",11.9,24,-12.1,"Fabricação de produtos de madeira",63.9,12.1712064467475,52,15.6966288881616,39.9,19.1849208213644
"Cloud",10,11.8,-1.8,"Fabricação de celulose, papel e produtos de papel",64.7,11.0506104061537,54.7,13.7861550588025,52.9,13.8735141584288
"Cloud",16.1,17.4,-1.3,"Impressão e reprodução de gravações",82.4,6.96248711839997,66.3,10.781363726908,65,10.8873499479649
"Cloud",12.3,1.8,10.5,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",71.4,10.4883548516525,59.1,13.0643645165891,69.6,10.9767306590944
"Cloud",14.2,10.2,4,"Fabricação de produtos químicos",87.6,5.86849263102157,73.4,8.18598414508247,77.4,7.44718800536893
"Cloud",14.1,13.9,0.2,"Fabricação de produtos farmoquímicos e farmacêuticos",77.5,9.02363254350955,63.4,11.9544471956852,63.6,11.9009724989399
"Cloud",19.3,22.7,-3.4,"Fabricação de artigos de borracha e plástico",74.7,7.03048260178617,55.4,10.8801467519659,52,11.3137503526202
"Cloud",19.2,12.5,6.7,"Fabricação de produtos de minerais não-metálicos",74.6,8.45085500256568,55.4,12.2217946416143,62.1,11.0116427599545
"Cloud",12,4,8,"Metalurgia",69.9,9.9634363768526,57.9,13.3751559189385,65.9,11.4841394411825
"Cloud",20.6,23.7,-3.1,"Fabricação de produtos de metal",72.1,9.05331154000034,51.5,13.1023750493289,48.4,13.6057956158657
"Cloud",13.1,-4.1,17.2,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",80.8,8.81772687184539,67.7,11.6994927636357,84.9,8.03044123796784
"Cloud",16.3,6.3,10,"Fabricação de máquinas, aparelhos e materiais elétricos",76.4,8.2632761599163,60.1,11.2805396044683,70.1,9.46808832946319
"Cloud",19.2,13.9,5.3,"Fabricação de máquinas e equipamentos",75.7,6.51733354294123,56.5,9.80325121740867,61.8,8.91008943888235
"Cloud",19.5,12.3,7.2,"Fabricação de veículos automotores, reboques e carrocerias",67.5,9.87249781793988,48,13.7907465942786,55.2,12.3309090886621
"Cloud",19.3,9.2,10.1,"Fabricação de outros equipamentos de transporte",83.6,16.3972821560788,64.3,21.896086480309,74.4,19.364113122435
"Cloud",17.7,7.7,10,"Fabricação de móveis",64.9,10.385837173764,47.2,14.5057529370362,57.2,11.8016799733935
"Cloud",18,10.8,7.2,"Fabricação de produtos diversos",65.6,11.9324849100308,47.6,15.4512609791998,54.8,14.1415434197654
"Cloud",17.8,14.1,3.7,"Manutenção, reparação e instalação de máquinas e equipamentos",69.1,15.3690681128497,51.3,20.2285325677403,55,18.9987791387679
"IA",12.5,6.9,5.6,"Fabricação de produtos alimentícios",35.6,12.2713438703314,23.1,16.4018558864078,28.7,14.3085662418067
"IA",12,8.3,3.7,"Fabricação de bebidas",19.8,30.9339599185904,7.8,47.0652336530304,11.5,46.0839729045844
"IA",18.3,9.2,9.1,"Fabricação de produtos do fumo",22.9,16.9932355211115,4.6,0,13.7,24.3757474709054
"IA",20.5,2,18.5,"Fabricação de produtos têxteis",30.9,21.3713559579472,10.4,38.5332079592107,28.9,22.5958987971123
