"tecnologia","categoria","asimetria_pp","par"
"Big Data","Fabricação de produtos alimentícios",1.7,"admin_producao"
"Big Data","Fabricação de produtos alimentícios",2.8,"admin_projeto"
"Big Data","Fabricação de produtos alimentícios",-1.1,"projeto_producao"
"Big Data","Fabricação de bebidas",1.6,"admin_producao"
"Big Data","Fabricação de bebidas",0,"admin_projeto"
"Big Data","Fabricação de bebidas",1.6,"projeto_producao"
"Big Data","Fabricação de produtos do fumo",9.1,"admin_producao"
"Big Data","Fabricação de produtos do fumo",4.6,"admin_projeto"
"Big Data","Fabricação de produtos do fumo",4.5,"projeto_producao"
"Big Data","Fabricação de produtos têxteis",1.7,"admin_producao"
"Big Data","Fabricação de produtos têxteis",-0.4,"admin_projeto"
"Big Data","Fabricação de produtos têxteis",2.1,"projeto_producao"
"Big Data","Confecção de artigos do vestuário e acessórios",0.5,"admin_producao"
"Big Data","Confecção de artigos do vestuário e acessórios",1.9,"admin_projeto"
"Big Data","Confecção de artigos do vestuário e acessórios",-1.4,"projeto_producao"
"Big Data","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",4.5,"admin_producao"
"Big Data","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",1.8,"admin_projeto"
"Big Data","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",2.7,"projeto_producao"
"Big Data","Fabricação de produtos de madeira",0.4,"admin_producao"
"Big Data","Fabricação de produtos de madeira",1.3,"admin_projeto"
"Big Data","Fabricação de produtos de madeira",-0.9,"projeto_producao"
"Big Data","Fabricação de celulose, papel e produtos de papel",0,"admin_producao"
"Big Data","Fabricação de celulose, papel e produtos de papel",-2,"admin_projeto"
"Big Data","Fabricação de celulose, papel e produtos de papel",2,"projeto_producao"
"Big Data","Impressão e reprodução de gravações",2.7,"admin_producao"
"Big Data","Impressão e reprodução de gravações",-4,"admin_projeto"
"Big Data","Impressão e reprodução de gravações",6.7,"projeto_producao"
"Big Data","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-3.9,"admin_producao"
"Big Data","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",0,"admin_projeto"
"Big Data","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-3.9,"projeto_producao"
"Big Data","Fabricação de produtos químicos",2.1,"admin_producao"
"Big Data","Fabricação de produtos químicos",-1.3,"admin_projeto"
"Big Data","Fabricação de produtos químicos",3.4,"projeto_producao"
"Big Data","Fabricação de produtos farmoquímicos e farmacêuticos",14.4,"admin_producao"
"Big Data","Fabricação de produtos farmoquímicos e farmacêuticos",10.3,"admin_projeto"
"Big Data","Fabricação de produtos farmoquímicos e farmacêuticos",4.1,"projeto_producao"
"Big Data","Fabricação de artigos de borracha e plástico",-1.9,"admin_producao"
"Big Data","Fabricação de artigos de borracha e plástico",0.9,"admin_projeto"
"Big Data","Fabricação de artigos de borracha e plástico",-2.8,"projeto_producao"
"Big Data","Fabricação de produtos de minerais não-metálicos",-0.1,"admin_producao"
"Big Data","Fabricação de produtos de minerais não-metálicos",1.8,"admin_projeto"
"Big Data","Fabricação de produtos de minerais não-metálicos",-1.9,"projeto_producao"
"Big Data","Metalurgia",-4.6,"admin_producao"
"Big Data","Metalurgia",-8.5,"admin_projeto"
"Big Data","Metalurgia",3.9,"projeto_producao"
"Big Data","Fabricação de produtos de metal",1.6,"admin_producao"
"Big Data","Fabricação de produtos de metal",7.4,"admin_projeto"
"Big Data","Fabricação de produtos de metal",-5.8,"projeto_producao"
"Big Data","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",4.9,"admin_producao"
"Big Data","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-8.5,"admin_projeto"
"Big Data","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",13.4,"projeto_producao"
"Big Data","Fabricação de máquinas, aparelhos e materiais elétricos",9.6,"admin_producao"
"Big Data","Fabricação de máquinas, aparelhos e materiais elétricos",6.2,"admin_projeto"
"Big Data","Fabricação de máquinas, aparelhos e materiais elétricos",3.4,"projeto_producao"
"Big Data","Fabricação de máquinas e equipamentos",5.3,"admin_producao"
"Big Data","Fabricação de máquinas e equipamentos",3.4,"admin_projeto"
"Big Data","Fabricação de máquinas e equipamentos",1.9,"projeto_producao"
"Big Data","Fabricação de veículos automotores, reboques e carrocerias",3.3,"admin_producao"
"Big Data","Fabricação de veículos automotores, reboques e carrocerias",2.2,"admin_projeto"
"Big Data","Fabricação de veículos automotores, reboques e carrocerias",1.1,"projeto_producao"
"Big Data","Fabricação de outros equipamentos de transporte",0.8,"admin_producao"
"Big Data","Fabricação de outros equipamentos de transporte",-5.4,"admin_projeto"
"Big Data","Fabricação de outros equipamentos de transporte",6.2,"projeto_producao"
"Big Data","Fabricação de móveis",0.3,"admin_producao"
"Big Data","Fabricação de móveis",0.8,"admin_projeto"
"Big Data","Fabricação de móveis",-0.5,"projeto_producao"
"Big Data","Fabricação de produtos diversos",0,"admin_producao"
"Big Data","Fabricação de produtos diversos",-1.5,"admin_projeto"
"Big Data","Fabricação de produtos diversos",1.5,"projeto_producao"
"Big Data","Manutenção, reparação e instalação de máquinas e equipamentos",0.6,"admin_producao"
"Big Data","Manutenção, reparação e instalação de máquinas e equipamentos",0.3,"admin_projeto"
"Big Data","Manutenção, reparação e instalação de máquinas e equipamentos",0.3,"projeto_producao"
"Cloud","Fabricação de produtos alimentícios",15.7,"admin_producao"
"Cloud","Fabricação de produtos alimentícios",17.7,"admin_projeto"
"Cloud","Fabricação de produtos alimentícios",-2,"projeto_producao"
"Cloud","Fabricação de bebidas",15.3,"admin_producao"
"Cloud","Fabricação de bebidas",14,"admin_projeto"
"Cloud","Fabricação de bebidas",1.3,"projeto_producao"
"Cloud","Fabricação de produtos do fumo",22.9,"admin_producao"
"Cloud","Fabricação de produtos do fumo",27.5,"admin_projeto"
"Cloud","Fabricação de produtos do fumo",-4.6,"projeto_producao"
"Cloud","Fabricação de produtos têxteis",18,"admin_producao"
"Cloud","Fabricação de produtos têxteis",11.3,"admin_projeto"
"Cloud","Fabricação de produtos têxteis",6.7,"projeto_producao"
"Cloud","Confecção de artigos do vestuário e acessórios",16.4,"admin_producao"
"Cloud","Confecção de artigos do vestuário e acessórios",9.6,"admin_projeto"
"Cloud","Confecção de artigos do vestuário e acessórios",6.8,"projeto_producao"
"Cloud","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",21.9,"admin_producao"
"Cloud","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",3,"admin_projeto"
"Cloud","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",18.9,"projeto_producao"
"Cloud","Fabricação de produtos de madeira",11.9,"admin_producao"
"Cloud","Fabricação de produtos de madeira",24,"admin_projeto"
"Cloud","Fabricação de produtos de madeira",-12.1,"projeto_producao"
"Cloud","Fabricação de celulose, papel e produtos de papel",10,"admin_producao"
"Cloud","Fabricação de celulose, papel e produtos de papel",11.8,"admin_projeto"
"Cloud","Fabricação de celulose, papel e produtos de papel",-1.8,"projeto_producao"
"Cloud","Impressão e reprodução de gravações",16.1,"admin_producao"
"Cloud","Impressão e reprodução de gravações",17.4,"admin_projeto"
"Cloud","Impressão e reprodução de gravações",-1.3,"projeto_producao"
"Cloud","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",12.3,"admin_producao"
"Cloud","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",1.8,"admin_projeto"
