"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_analise_de_big_data_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_analise_de_big_data_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_computacao_em_nuvem_servico_pago_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_computacao_em_nuvem_servico_pago_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_inteligencia_artificial_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_inteligencia_artificial_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_internet_das_coisas_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_internet_das_coisas_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_manufatura_aditiva_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_manufatura_aditiva_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_robotica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_robotica_nao_utilizou"
"Total Indústria","total",10166.8400102393,9054.21257129623,2823.45935762739,7343.38065261187,7849.24002363494,2317.59998660431,4261.23518460336,5905.60482563589,5111.10979235829,5055.73021788096,2060.95156874969,8105.88844148957,3098.0996424417,7068.74036779756
"Indústrias extrativas","grande_categoria",285,259.547321153605,64.9915625145903,220.00843748541,233.603802049837,51.3961979501636,135.954828526084,149.045171473916,202.265591420664,82.734408579336,15.7806274037337,269.219372596267,57.8133011922401,227.18669880776
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,2758.4677951128,7123.37221512646,7615.6362215851,2266.20378865415,4125.28035607728,5756.55965416198,4908.84420093763,4972.99580930163,2045.17094134595,7836.6690688933,3040.28634124946,6841.5536689898
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,415.811072732837,1416.18892726716,1378.1909439696,453.8090560304,714.203477963747,1117.79652203625,1027.56918580319,804.430814196807,109.570581173358,1722.42941882664,451.03779353492,1380.96220646508
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,51.5124396022659,105.487560397734,132.410010964109,24.5899890358906,37.0324813135032,119.967518686497,72.8640043188842,84.1359956811158,24.2606378232186,132.739362176781,33.9867707459663,123.013229254034
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,4.00000000000026,17.8400102393428,15.000000000001,6.84001023934198,5.00000000000039,16.8400102393426,5.00000000000026,16.8400102393428,1,20.840010239343,4.00000000000013,17.8400102393429
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,114.537095699721,326.46290430028,333.784940360879,107.215059639122,175.56564873302,265.434351266982,219.295432095123,221.704567904878,29.388880782249,411.611119217753,69.7728049542381,371.227195045764
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,209.426332420578,315.573667579422,433.580805631634,91.4191943683665,222.468496646546,302.531503353454,284.896180167372,240.103819832628,38.7209382628543,486.279061737146,127.730123740325,397.269876259675
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,95.0809848819935,242.919015118,248.200443589269,89.7995564107247,70.0413090629029,267.95869093709,165.696432987816,172.303567012178,122.299147572496,215.700852427497,75.6577163802829,262.34228361971
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,15.6950877017826,207.304912298218,143.447605418708,79.5523945812931,65.7161797632321,157.283820236769,77.0138777185523,145.986122281448,19.3901754035651,203.609824596436,50.9437125947786,172.056287405222
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,78.9915141487021,225.008485851294,197.53899633851,106.461003661486,100.695943111355,203.304056888641,117.005891289278,186.994108710718,32.5108067323106,271.489193267685,55.2607165992985,248.739283400698
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,27.1453776283593,53.8546223716402,77.7624012123757,3.2375987876238,34.8500697103791,46.1499302896203,37.5362320516477,43.4637679483518,20.982245027373,60.0177549726265,15.3595592916388,65.6404407083607
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,40.9327685493979,110.067231450596,119.475154194259,31.5248458057349,64.5628395917303,86.4371604082632,104.461029236609,46.538970763385,6.14985222488717,144.850147775106,55.2806269474405,95.719373052553
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,296.410393757728,365.589606242248,604.696482915671,57.3035170843042,384.142016213221,277.857983786754,367.336176715758,294.663823284218,103.453434014095,558.54656598588,190.117408007094,471.882591992882
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,56.6366170142718,76.3633829857259,103.090193263247,29.9098067367504,76.4219470711602,56.5780529288375,89.3353922900631,43.6646077099346,18.6110076673108,114.388992332687,50.8285510807996,82.171448919198
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,119.246560747983,632.753439252023,573.568212152113,178.431787847893,276.175023813165,475.824976186841,306.311648574102,445.688351425904,241.533277902233,510.466722097773,314.668675710859,437.331324289147
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,106.988135363234,352.011864636733,352.919485227003,106.080514772964,227.913649795331,231.086350204636,195.963193656131,263.036806343836,63.1205561781925,395.879443821774,131.179955300681,327.820044699286
"Metalurgia","categoria_detalhe",331.999999999996,284.231236252041,115.239818896008,216.760181103987,248.281542557661,83.7184574423346,169.838248348246,162.16175165175,126.145575932609,205.854424067387,47.5417309193333,284.458269080662,85.6059241455415,246.394075854454
"Fabricação de produtos de metal","categoria_detalhe",604.99999999997,540.998184193112,153.467831636836,451.532168363134,452.161077838958,152.838922161012,207.872516216842,397.127483783128,284.009989855536,320.990010144434,140.815979494149,464.184020505821,229.320443254713,375.679556745257
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","categoria_detalhe",179.999999999992,171.577661579149,67.6282801563687,112.371719843623,160.213593482986,19.7864065170056,130.075572344853,49.9244276551384,125.60054074299,54.3994592570016,91.6157798637584,88.3842201362333,66.8966414241897,113.103358575802
"Fabricação de máquinas, aparelhos e materiais elétricos","categoria_detalhe",358.000000000012,347.211331658933,120.91360742724,237.086392572772,297.357808555097,60.6421914449153,212.243827732167,145.756172267845,163.597374295098,194.402625704914,174.578497702032,183.42150229798,146.135903179914,211.864096820098
"Fabricação de máquinas e equipamentos","categoria_detalhe",725.000000000008,691.67108689572,285.943620195746,439.056379804262,562.419215433151,162.580784566857,399.105208106476,325.894791893533,475.562081086513,249.437918913496,318.218735414839,406.781264585169,291.520089946211,433.479910053797
"Fabricação de veículos automotores, reboques e carrocerias","categoria_detalhe",501.000000000008,444.073056608645,169.938588041052,331.061411958956,365.033576823575,135.966423176433,190.930962212399,310.069037787608,192.469269181162,308.530730818845,162.207685006749,338.792314993259,292.701615735476,208.298384264531
"Fabricação de outros equipamentos de transporte","categoria_detalhe",119,116.999999999999,40.9839315127628,78.0160684872372,101.022069483524,17.9779305164761,43.2661309500005,75.7338690499995,51.2575356583148,67.7424643416852,59.8789402575491,59.1210597424509,52.7261609632925,66.2738390367075
"Fabricação de móveis","categoria_detalhe",384.000000000002,334.33652378091,80.6689457167661,303.331054283236,280.094853590321,103.905146409681,136.782852596204,247.217147403798,186.070103417834,197.929896582168,70.6356717336958,313.364328266306,147.43721224396,236.562787756042
"Fabricação de produtos diversos","categoria_detalhe",249.999999999992,220.785143353875,72.8225936935803,177.177406306411,175.026557087741,74.9734429122503,113.460479850557,136.539520149434,110.343439372049,139.656560627942,106.149914029896,143.850085970096,69.2052794162177,180.794720583774
"Manutenção, reparação e instalação de máquinas e equipamentos","categoria_detalhe",348,297.084695271399,18.4461975875847,329.553802412415,260.360251494712,87.6397485052877,66.9154749302389,281.084525069761,123.503614490994,224.496385509006,42.5364661598074,305.463533840192,32.912656051619,315.087343948381
