"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_comercializacao_nao_se_aplica"
"Total Indústria","total",10166.8400102393,9054.21257129623,2823.45935762739,487.76007696078,1931.43835141593,2419.19842837671,320.554014982345,83.7069142683364,670.725895728336,1715.89805645376,2386.6239521821,409.433563669349,27.4018417759444,623.057903827013,1619.86432275962,2242.92222658663,502.357599487678,78.1795315530771,1020.93663237464,1539.03548952961,2559.97212190424,236.052720119634,27.4345156035141,944.829158359591,1550.16335532926,2494.99251368886,226.006167145311,102.460676793222
"Indústrias extrativas","grande_categoria",285,259.547321153605,64.9915625145903,5,48.1309641923088,53.1309641923088,11.8605983222815,0,21.5220150908465,38.4695474237438,59.9915625145903,5,0,10.6915922986837,45.2999702159066,55.9915625145903,9,0,44.769469592524,15.2220929220663,59.9915625145903,5,0,20.386856179396,28.8111520506796,49.1980082300756,14.7935542845147,1
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,2758.4677951128,482.76007696078,1883.30738722362,2366.0674641844,308.693416660064,83.7069142683364,649.20388063749,1677.42850903001,2326.6323896675,404.433563669349,27.4018417759444,612.366311528329,1574.56435254371,2186.93066407204,493.357599487678,78.1795315530771,976.167162782111,1523.81339660754,2499.98055938965,231.052720119634,27.4345156035141,924.442302180195,1521.35220327859,2445.79450545878,211.212612860796,101.460676793222
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,415.811072732837,82.9765864592934,277.289196733035,360.265783192328,37.5528695804253,17.9924199600834,108.088343928258,272.544851859566,380.633195787824,35.1778769450123,0,108.994417665841,269.456822511416,378.451240177257,21.3674125954964,15.9924199600834,223.186900029846,188.62417270299,411.811072732837,4,0,208.63585047836,160.840247138018,369.476097616379,22.9578062449776,23.3771688714806
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,51.5124396022659,18.6732648634671,31.8391747387988,50.5124396022659,1,0,26.17647342878,21.8387797460169,48.0152531747969,3.49718642746907,0,27.7297857714927,21.2854674033042,49.0152531747969,2.49718642746907,0,38.512044609484,12.0003949927819,50.5124396022659,1,0,47.0152531747969,1,48.0152531747969,3.49718642746907,0
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,4.00000000000026,1.00000000000013,2.00000000000013,3.00000000000026,1,0,0,2.00000000000013,2.00000000000013,2.00000000000013,0,0,2,2,2.00000000000026,0,1.00000000000013,3.00000000000013,4.00000000000026,0,0,1.00000000000013,2,3.00000000000013,1.00000000000013,0
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,114.537095699721,5,87.1596816630598,92.1596816630598,22.3774140366614,0,4,78.9471809277464,82.9471809277464,31.5899147719748,0,4,77.9471809277464,81.9471809277464,32.5899147719748,0,15.7508208813329,74.7586692936305,90.5094901749634,24.0276055247578,0,4,100.92502897343,104.92502897343,9.61206672629151,0
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,209.426332420578,45.4277895460117,152.123237425841,197.551026971853,11.8753054487246,0,55.5504366720264,148.993779635234,204.54421630726,4.88211611331746,0,46.5514603846567,156.992755922603,203.54421630726,5.88211611331746,0,72.3774220054308,135.048910415147,207.426332420578,2,0,123.5681342276,85.8581981929774,209.426332420578,0,0
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,95.0809848819935,33.7041623667248,55.0684930885526,88.7726554552774,6.30832942671615,0,54.3688916966101,25.2683617836221,79.6372534802323,14.4437314017612,1,21.6413299450633,69.4396549369302,91.0809848819935,4,0,47.948559679671,47.1324252023226,95.0809848819935,0,0,37.8857272580095,49.3363605538713,87.2220878118808,0,7.85889707011276
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,15.6950877017826,1,11.6950877017826,12.6950877017826,3,0,2,12.6950877017826,14.6950877017826,1,0,2,13.6950877017826,15.6950877017826,0,0,5,10.6950877017826,15.6950877017826,0,0,2,13.6950877017826,15.6950877017826,0,0
