"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_comercializacao_nao_se_aplica"
"Total Indústria","total",10166.8400102393,9054.21257129623,7849.24002363494,1956.51666838162,4110.16768386407,6066.68435224569,1316.03023653678,466.525434852464,1549.06998710284,4179.84566581047,5728.91565291331,1645.41106018149,474.913310540149,1879.76726741735,4009.93776839512,5889.70503581247,1668.78115923853,290.753828583936,3205.73446528576,4243.12689878333,7448.86136406909,365.004116059817,35.3745435060384,2593.14979979424,3883.13828392413,6476.28808371836,1089.17206855703,283.779871359553
"Indústrias extrativas","grande_categoria",285,259.547321153605,233.603802049837,79.0649984601857,98.7520063455008,177.817004805687,30.3364896067275,25.4503076374226,66.0438081142807,112.251530717386,178.295338831667,29.2345276208965,26.073935597273,86.5718659961287,102.425850343169,188.997716339298,27.3151487259722,17.2909369845665,148.224424629895,77.5187790976602,225.743203727555,7.86059832228147,0,74.3881330670165,102.741221136554,177.12935420357,47.33167565622,9.14277219004646
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,7615.6362215851,1877.45166992144,4011.41567751857,5888.86734744001,1285.69374693006,441.075127215042,1483.02617898856,4067.59413509308,5550.62031408164,1616.17653256059,448.839374942876,1793.19540142122,3907.51191805195,5700.70731947317,1641.46601051256,273.462891599369,3057.51004065586,4165.60811968567,7223.11816034153,357.143517737535,35.3745435060384,2518.76166672722,3780.39706278757,6299.15872951479,1041.84039290081,274.637099169507
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,1378.1909439696,251.394462706863,737.226733824262,988.621196531125,306.28373401248,83.2860134259958,219.588529359795,806.490085970603,1026.0786153304,310.727797251416,41.3845313877873,274.578950760625,865.674000293626,1140.25295105425,202.699278904293,35.2387140110574,634.325786523491,679.37110552235,1313.69689204584,64.4940519237605,0,444.088815408277,659.016044123185,1103.10485953146,210.02954356126,65.0565408768785
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,132.410010964109,51.5827329628479,49.3027444988632,100.885477461711,15.0565209080256,16.4680125943727,36.8470236348096,62.1160528849722,98.9630765197818,17.9789218499549,15.4680125943727,57.3554153955493,48.1174350259133,105.472850421463,26.9371605426467,0,75.5557312562565,47.3851317595788,122.940863015835,9.46914794827404,0,75.5557312562565,36.3862671134802,111.941998369737,20.4680125943727,0
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,15.000000000001,4.00000000000026,5.00000000000026,9.00000000000052,4.00000000000052,2,5.00000000000026,5.00000000000026,10.0000000000005,3.00000000000039,2.00000000000013,4.00000000000026,7.00000000000026,11.0000000000005,3.00000000000039,1.00000000000013,8.00000000000052,7.00000000000052,15.000000000001,0,0,5.00000000000039,6.00000000000026,11.0000000000006,3.00000000000039,1
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,333.784940360879,93.7891685301556,169.624478115825,263.413646645981,47.1925776511713,23.1787160637269,52.5924755855132,181.288306394619,233.880781980132,48.9700565487215,50.9341018320257,91.5810667101262,142.016028767959,233.597095478085,85.8738251159041,14.3140197668898,103.676573521421,209.635777934866,313.312351456287,20.4725889045921,0,113.889074256734,157.902544120884,271.791618377618,49.6793022163709,12.3140197668898
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,433.580805631634,141.995743960949,218.968026340004,360.963770300953,44.8088035031873,27.8082318274938,99.5885662213787,225.769267690242,325.35783391162,96.1173996120393,12.105572107974,102.58856622138,183.5604567374,286.14902295878,90.1399757441957,57.2918069286581,186.404886026238,225.283276226423,411.688162252661,21.8926433789728,0,183.618100593085,180.315079385826,363.933179978911,40.9985013247935,28.6491243279296
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,248.200443589269,47.9936229038022,160.69976254374,208.693385447543,39.5070581417261,0,69.954220346562,74.6570805268786,144.611300873441,71.8826797177364,31.7064629980917,59.7651884753229,114.357206716724,174.122395192046,63.0152159755607,11.0628324216615,80.8101101643528,137.922072466625,218.732182630978,29.4682609582911,0,71.2995101640502,136.753039656732,208.052549820783,21.3289643414674,18.8189294270188
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,143.447605418708,16.8116468558813,72.2551126247305,89.0667594806118,23.5537276262002,30.8271183118957,17.8276119637546,98.1136748960468,115.941286859801,20.1237661014629,7.38255245744336,21.8276119637546,89.4968337872345,111.324445750989,27.162755353904,4.9604043138146,42.8500296745781,99.5975757441295,142.447605418708,1,0,31.4445658544523,81.8556854087974,113.30025126325,15.6791577226934,14.4681964327645
