"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_comercializacao_nao_se_aplica"
"Total Indústria","total",10166.8400102393,9054.21257129623,4261.23518460336,325.558751603128,2789.43570733036,3114.99445893349,1015.4751809052,130.765544764666,204.322576382283,2012.52664699818,2216.84922338047,1905.28453852499,139.101422697903,211.622881306603,1980.50480485307,2192.12768615967,1988.27124711462,80.836251329065,539.423697075936,3206.76559151034,3746.18928858628,501.796422654623,13.2494733624587,411.844601376387,2790.82553993073,3202.67014130711,946.189684894244,112.375358402003
"Indústrias extrativas","grande_categoria",285,259.547321153605,135.954828526084,2,109.866245025585,111.866245025585,15.9458113104524,8.14277219004646,2,89.8046651248536,91.8046651248536,35.3671647885237,8.7829986127065,10.7829986127065,62.6537800045336,73.4367786172401,62.5180499088437,0,12.5577337602891,110.668633959463,123.226367719752,12.7284608063318,0,1,53.7220454130677,54.7220454130677,72.0900109229697,9.14277219004646
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,4125.28035607728,323.558751603128,2679.56946230478,3003.1282139079,999.529369594752,122.62277257462,202.322576382283,1922.72198187333,2125.04455825561,1869.91737373647,130.318424085197,200.839882693897,1917.85102484854,2118.69090754243,1925.75319720578,80.836251329065,526.865963315646,3096.09695755088,3622.96292086653,489.067961848291,13.2494733624587,410.844601376387,2737.10349451766,3147.94809589405,874.099673971274,103.232586211956
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,714.203477963747,6.00000000000157,520.397249959971,526.397249959972,167.546159708184,20.2600682955907,44.6730191937822,377.910146282197,422.583165475979,291.620312487768,0,24.4404993874247,365.206926542365,389.64742592979,309.48947666056,15.0665753733969,79.4431705141376,572.87311447006,652.316284984198,61.8871929795494,0,37.6292619267308,576.243734709936,613.872996636667,82.8822042995262,17.4482770275541
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,37.0324813135032,0,18.0099713980718,18.0099713980718,18.0225099154314,1,0,12.2041169151931,12.2041169151931,24.8283643983101,0,0,22.2606378232186,22.2606378232186,14.7718434902845,0,2,29.0664923060974,31.0664923060974,5.9659890074058,0,12.0565209080256,22.9759604054776,35.0324813135032,2,0
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,5.00000000000039,0,3.00000000000026,3.00000000000026,1.00000000000013,1,0,1,1,2.00000000000013,2.00000000000026,0,1,1,3.00000000000026,1.00000000000013,0,5.00000000000039,5.00000000000039,0,0,0,3.00000000000013,3.00000000000013,2.00000000000026,0
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,175.56564873302,25.7315626387835,101.905272815834,127.636835454618,47.9288132784018,0,0,45.8436587776077,45.8436587776077,114.110812867461,15.6111770879516,0,25.7944589935091,25.7944589935091,149.771189739511,0,9.61206672629151,126.611956715081,136.224023441372,39.3416252916477,0,13.3036674563895,112.182057459259,125.485724915649,50.079923817371,0
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,222.468496646546,33.5241439388074,164.092278166408,197.616422105215,23.8520745413306,1,21.4697739593163,110.271923684936,131.741697644252,90.7267990022936,0,15.7438833324015,161.442024100663,177.185907433065,39.0307701347053,6.25181907877549,49.8032794634322,150.972250141348,200.77552960478,21.6929670417654,0,43.1086339337979,163.824979457916,206.933613391714,13.6939907543957,1.84089250043578
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,70.0413090629029,8.30832942671615,34.8416221908857,43.1499516176019,26.8913574453011,0,1,15.50069085388,16.50069085388,53.5406182090229,0,1,11.8588970701128,12.8588970701128,57.1824119927902,0,19.1141616864887,36.483415974653,55.5975776611417,14.4437314017612,0,8.30832942671615,46.874082566074,55.1824119927902,7,7.85889707011276
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,65.7161797632321,7.78092211209041,31.5063185589063,39.2872406709967,11.6169538906978,14.8119852015376,1,20.476009813873,21.476009813873,36.4122547687324,7.82791518062671,6.03072474379092,20.8902317945078,26.9209565382987,38.7952232249333,0,9.03072474379092,40.8733570360181,49.9040817798091,15.812097983423,0,9.03072474379092,50.0686139106288,59.0993386544198,0,6.61684110881233
