"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_comercializacao_nao_se_aplica"
"Total Indústria","total",10166.8400102393,9054.21257129623,5111.10979235829,848.97847226059,2619.7575928619,3468.73606512249,1272.17034249546,370.203384740348,792.787508442762,3399.83194146964,4192.6194499124,620.632398620283,297.857943825606,794.284505533664,2554.42119388052,3348.70569941418,1573.18179646503,189.222296479082,1188.80014894194,2499.40348074884,3688.20362969078,1397.21501407071,25.6911485968071,1021.70618447123,2128.72731923487,3150.43350370611,1744.23693090451,216.43935774768
"Indústrias extrativas","grande_categoria",285,259.547321153605,202.265591420664,3,119.883422142361,122.883422142361,53.9318616408809,25.4503076374226,29.4063255028561,120.677126961726,150.083452464582,26.1082033588093,26.073935597273,28.8510419538284,85.2541239937715,114.1051659476,62.0888610847642,26.0715643883001,37.631669357562,118.216462234472,155.848131592034,46.4174598286304,0,27.8510419538284,92.0052260539144,119.856268007743,73.266551222875,9.14277219004646
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,4908.84420093763,845.97847226059,2499.87417071954,3345.85264298013,1218.23848085457,344.753077102926,763.381182939906,3279.15481450792,4042.53599744782,594.524195261474,271.784008228333,765.433463579835,2469.16706988675,3234.60053346658,1511.09293538026,163.150732090782,1151.16847958437,2381.18701851437,3532.35549809874,1350.79755424208,25.6911485968071,993.855142517404,2036.72209318096,3030.57723569836,1670.97037968163,207.296585557634
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,1027.56918580319,106.51995806087,539.490246284515,646.010204345385,319.230061862534,62.328919595275,78.9160076903869,825.138821456002,904.054829146389,123.514356656805,0,105.291139009314,684.540098992778,789.831238002091,222.671372427706,15.0665753733969,266.736050712295,421.151492426663,687.887543138959,339.681642664235,0,186.033721917037,448.011454130813,634.045176047849,328.467468878466,65.0565408768785
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,72.8640043188842,2.49718642746907,41.2252936465355,43.7224800740046,11.5097739016809,17.6317503431988,2.49718642746907,39.0325302703554,41.5297166978245,22.990028601928,8.34425901913173,2.49718642746907,35.1726723742941,37.6698588017631,26.9066541930541,8.28749132406705,11.0003949927819,34.9569551330482,45.9573501258302,26.9066541930541,0,18.5101688944628,26.6694638089812,45.179632703444,19.3968802913732,8.28749132406705
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,5.00000000000026,1.00000000000013,1,2.00000000000013,2.00000000000013,1,0,4.00000000000013,4.00000000000013,0,1.00000000000013,1.00000000000013,3.00000000000013,4.00000000000026,1,0,1.00000000000013,3.00000000000013,4.00000000000026,1,0,1.00000000000013,2,3.00000000000013,2.00000000000013,0
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,219.295432095123,34.7183166165157,89.4339643180115,124.152280934527,72.2542997908794,22.8888513697164,26.0399619086854,140.600880737922,166.640842646608,36.9440633740968,15.7105260744188,2,128.911284081251,130.911284081251,87.3841480138717,1,23.232481689656,153.75455209043,176.987033780086,42.3083983150373,0,24.9406129222182,99.8369807608683,124.777593683086,94.5178384120366,0
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,284.896180167372,62.3729446039444,137.914606285663,200.287550889608,42.6648897954931,41.9437394822712,63.3729446039454,169.08387211349,232.456816717435,40.3337913419627,12.105572107974,62.3729446039444,109.65710628011,172.030050884054,79.8060783770486,33.0600509062693,78.2817223878726,140.409944415482,218.691666803355,66.2045133640174,0,97.3086698963301,112.090608990606,209.399278886936,46.8477769525065,28.6491243279296
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,165.696432987816,32.2820948042727,97.7560164294548,130.038111233728,35.6583217540881,0,40.5630594368375,101.571444285848,142.134503722686,13.1867312398723,10.3751980252575,52.2683922632215,85.2898437998789,137.5582360631,28.1381969247153,0,53.8486253321362,84.6005446255125,138.449169957649,27.247263030167,0,45.8503608776491,81.9524848010491,127.802845678698,19.5201248293729,18.3734624797446
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,77.0138777185523,17.4448690713245,21.7261507912297,39.1710198625542,29.6477137632728,8.19514409272527,11.6169538906978,57.5690086472278,69.1859625379256,0,7.82791518062671,10.6169538906978,19.2262071821725,29.8431610728702,47.1707166456821,0,12.6169538906978,28.0541223627992,40.6710762534969,36.3428014650554,0,18.648016980145,11.1951440927253,29.8431610728702,47.1707166456821,0
