"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_manufatura_aditiva_comercializacao_nao_se_aplica"
"Total Indústria","total",10166.8400102393,9054.21257129623,2060.95156874969,361.995824360721,1501.11319126919,1863.10901562991,130.653356460469,67.1891966593053,149.827042935211,1031.14363509832,1180.97067803354,820.815886735546,59.1650039806037,51.9573018891846,272.874988365784,324.832290254969,1670.79905723148,65.3202212632354,83.6727044319866,320.719521356706,404.392225788692,1647.83416657063,8.72517639036629,124.076880713208,391.836644688347,515.913525401555,1457.32467486348,87.7133684846523
"Indústrias extrativas","grande_categoria",285,259.547321153605,15.7806274037337,0,14.7806274037337,14.7806274037337,1,0,0,12.7806274037337,12.7806274037337,3,0,0,1,1,6,8.78062740373368,8.78062740373368,1,9.78062740373368,6,0,0,8.78062740373368,8.78062740373368,7,0
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,2045.17094134595,361.995824360721,1486.33256386546,1848.32838822618,129.653356460469,67.1891966593053,149.827042935211,1018.36300769459,1168.1900506298,817.815886735546,59.1650039806037,51.9573018891846,271.874988365784,323.832290254969,1664.79905723148,56.5395938595017,74.892077028253,319.719521356706,394.611598384959,1641.83416657063,8.72517639036629,124.076880713208,383.056017284613,507.132897997821,1450.32467486348,87.7133684846523
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,109.570581173358,3,104.570581173356,107.570581173356,2.00000000000157,0,8.79471146904442,58.3194198362042,67.1141313052486,42.4564498681089,0,2,3.00000000000157,5.00000000000157,104.570581173356,0,2,4.00000000000314,6.00000000000314,103.570581173354,0,2,3.00000000000157,5.00000000000157,104.570581173356,0
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,24.2606378232186,6.20411691519307,4,10.2041169151931,14.0565209080256,0,7.20411691519307,17.0565209080256,24.2606378232186,0,0,0,0,0,24.2606378232186,0,0,0,0,24.2606378232186,0,0,0,0,24.2606378232186,0
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,29.388880782249,0,3,3,26.388880782249,0,20.3628876076244,6.02599317462463,26.388880782249,2,1,0,15.7768140559575,15.7768140559575,12.6120667262915,1,0,6.02599317462463,6.02599317462463,23.3628876076244,0,10.7508208813329,0,10.7508208813329,18.6380599009161,0
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,38.7209382628543,28.8800457624175,6.84089250043681,35.7209382628543,3,0,27.8800457624175,7.00000000000103,34.8800457624185,3.84089250043578,0,14.7438833324015,1,15.7438833324015,22.9770549304528,0,14.7438833324015,2,16.7438833324015,21.9770549304528,0,14.7438833324015,0,14.7438833324015,22.136162430017,1.84089250043578
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,122.299147572496,34.7384290549767,85.5607185175196,120.299147572496,2,0,1,39.3910901421738,40.3910901421738,72.532859405065,9.37519802525751,0,8.85889707011276,8.85889707011276,113.440250502384,0,0,8.85889707011276,8.85889707011276,113.440250502384,0,0,9.21869729675727,9.21869729675727,94.2615208487203,18.8189294270188
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,19.3901754035651,2,17.3901754035651,19.3901754035651,0,0,1,9.69508770178256,10.6950877017826,8.69508770178256,0,0,0,0,19.3901754035651,0,0,0,0,19.3901754035651,0,0,8.69508770178256,8.69508770178256,10.6950877017826,0
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,32.5108067323106,1,29.5108067323106,30.5108067323106,2,0,0,23.6494939709782,23.6494939709782,8.86131276133241,0,0,7.4601041705902,7.4601041705902,25.0507025617204,0,0,6.4601041705902,6.4601041705902,26.0507025617204,0,0,7.4601041705902,7.4601041705902,25.0507025617204,0
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,20.982245027373,1,19.982245027373,20.982245027373,0,0,0,7.37609632502375,7.37609632502375,10.3320389278008,3.27410977454837,0,0,0,17.7081352528246,3.27410977454837,0,3.27410977454837,3.27410977454837,17.7081352528246,0,0,6.37609632502375,6.37609632502375,14.6061487023492,0
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,6.14985222488717,1,4.14985222488717,5.14985222488717,1,0,0,5.14985222488717,5.14985222488717,1,0,0,4.14985222488717,4.14985222488717,2,0,0,4.14985222488717,4.14985222488717,2,0,0,3.14985222488717,3.14985222488717,3,0
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,103.453434014095,27.7856680599133,73.6677659541819,101.453434014095,2,0,1,49.9642511136802,50.9642511136802,52.4891829004149,0,0,11.0784699946894,11.0784699946894,91.3749640194058,1,1,5,6,97.4534340140952,0,14.4262903544948,6,20.4262903544948,68.3563771027821,14.6707665568183
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,18.6110076673108,5.46756421246312,12.1434434548477,17.6110076673108,1,0,5.46756421246312,10.1434434548477,15.6110076673108,3,0,5.46756421246312,2,7.46756421246312,11.1434434548477,0,0,6.46756421246312,6.46756421246312,12.1434434548477,0,0,5.46756421246312,5.46756421246312,13.1434434548477,0
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,241.533277902233,37.8946528068414,173.126386369704,211.021039176546,16.2615868337502,14.2506518919367,3,120.060123849697,123.060123849697,118.473154052536,0,1,12.642121093468,13.642121093468,213.640504916828,14.2506518919367,2,24.263466655187,26.263466655187,215.269811247046,0,13.6978901544138,52.2776183524187,65.9755085068325,161.307117503464,14.2506518919367
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,63.1205561781925,13.5798360261441,47.5407201520484,61.1205561781925,1,1,0,34.6857155135951,34.6857155135951,28.4348406645974,0,0,1,1,62.1205561781925,0,0,9.79729826541987,9.79729826541987,53.3232579127727,0,1,3,4,59.1205561781925,0
