"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_comercializacao_nao_se_aplica"
"Total Indústria","total",10166.8400102393,9054.21257129623,3098.0996424417,237.893647988801,1483.49034799702,1721.38399598582,1262.37520316511,114.340443290765,618.55186432411,2257.28168403094,2875.83354835505,153.862576168133,68.4035179185127,142.692661272386,964.36609151179,1107.05875278418,1908.15567729394,82.8852123635836,217.117928075913,659.533595211407,876.65152328732,2219.44811915438,2,125.889620819455,579.144958088241,705.034578907695,2312.51749053896,80.5475729950363
"Indústrias extrativas","grande_categoria",285,259.547321153605,57.8133011922401,0,45.6705290021937,45.6705290021937,4,8.14277219004646,9.55773376028908,47.2555674319511,56.8133011922401,1,0,8.69526388071234,34.9752651214813,43.6705290021937,14.1427721900465,0,17.2245431333276,9.69159229868369,26.9161354320113,30.8971657602288,0,17.2245431333276,1,18.2245431333276,31.4459858688661,8.14277219004646
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,3040.28634124946,237.893647988801,1437.81981899483,1675.71346698363,1258.37520316511,106.197671100718,608.994130563821,2210.02611659899,2819.02024716281,152.862576168133,68.4035179185127,133.997397391674,929.390826390309,1063.38822378198,1894.01290510389,82.8852123635836,199.893384942585,649.842002912723,849.735387855309,2188.55095339415,2,108.665077686127,578.144958088241,686.810035774368,2281.0715046701,72.4048008049898
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,451.03779353492,3,235.906743671324,238.906743671324,210.131049863596,2,88.8793546424988,324.180664198127,413.060018840626,37.9777746942942,0,20.4684040837864,143.184090219617,163.652494303403,272.31872385812,15.0665753733969,21.6357733452606,80.6148142611606,102.250587606421,348.787205928499,0,5.00000000000157,131.334994186361,136.334994186363,307.31805043716,7.3847489113972
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,33.9867707459663,1,27.9867707459663,28.9867707459663,4,1,2,31.9867707459663,33.9867707459663,0,0,0,19.2854674033042,19.2854674033042,14.7013033426621,0,0,20.2854674033042,20.2854674033042,13.7013033426621,0,0,10.7822588379913,10.7822588379913,23.204511907975,0
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,4.00000000000013,0,0,0,3,1.00000000000013,0,4.00000000000013,4.00000000000013,0,0,0,0,0,4.00000000000013,0,0,0,0,4.00000000000013,0,0,0,0,4.00000000000013,0
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,69.7728049542381,12.2622582143879,27.5058158812024,39.7680740955903,19.1400345618107,10.8646962968371,25.6135131047427,42.1592918494954,67.7728049542381,1,1,0,38.5568537670462,38.5568537670462,30.2159511871919,1,12.2622582143879,28.5058158812024,40.7680740955903,29.0047308586478,0,12.2622582143879,14.1545609908476,26.4168192052355,43.3559857490026,0
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,127.730123740325,14.7438833324015,70.6901358904424,85.4340192228439,26.5934447979613,15.7026597195198,27.3853624078373,99.3447613324877,126.730123740325,1,0,14.7438833324015,52.2667177207318,67.0106010531333,46.0168629676719,14.7026597195198,43.5926839975384,16.4247277201877,60.0174117177261,67.7127120225989,0,43.5926839975384,1,44.5926839975384,68.4347800232668,14.7026597195198
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,75.6577163802829,1,57.3283589676622,58.3283589676622,17.3293574126207,0,10.8697643735426,61.7879520067403,72.6577163802829,3,0,0,10.5132229352722,10.5132229352722,65.1444934450107,0,0,20.5760553569337,20.5760553569337,55.0816610233492,0,0,10.0536298961941,10.0536298961941,65.6040864840888,0
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,50.9437125947786,8.69508770178256,15.7258124455735,24.420900147356,17.6714571234704,8.85135532395215,9.69508770178256,41.248624892996,50.9437125947786,0,0,8.69508770178256,20.5771677695256,29.2722554713082,20.6714571234704,1,7.69508770178256,21.5771677695256,29.2722554713082,20.6714571234704,1,7.69508770178256,14.7258124455735,22.420900147356,19.6714571234704,8.85135532395215
