"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_beneficios_obtidos_em_decorrencia_da_utilizacao_das_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_beneficios_obtidos_em_decorrencia_da_utilizacao_das_tecnologias_digitais_avancadas_aumento_da_eficiencia","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_beneficios_obtidos_em_decorrencia_da_utilizacao_das_tecnologias_digitais_avancadas_reducao_do_impacto_ambiental","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_beneficios_obtidos_em_decorrencia_da_utilizacao_das_tecnologias_digitais_avancadas_melhoria_no_relacionamento_com_clientes_e_ou_fornecedores","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_beneficios_obtidos_em_decorrencia_da_utilizacao_das_tecnologias_digitais_avancadas_maior_capacidade_de_desenvolvimento_de_produtos_ou_servicos_novos_ou_significativamente_aprimorados","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_beneficios_obtidos_em_decorrencia_da_utilizacao_das_tecnologias_digitais_avancadas_maior_eficacia_no_atendimento_ao_mercado","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_beneficios_obtidos_em_decorrencia_da_utilizacao_das_tecnologias_digitais_avancadas_maior_flexibilidade_em_processos_administrativos_produtivos_e_organizacionais","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_beneficios_obtidos_em_decorrencia_da_utilizacao_das_tecnologias_digitais_avancadas_entrada_em_novos_mercados","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_beneficios_obtidos_em_decorrencia_da_utilizacao_das_tecnologias_digitais_avancadas_outros"
"Total Indústria","total",10166.8400102393,9054.21257129623,8863.12291166084,8175.32503368953,6709.12749016782,7746.45081606325,6759.83523331852,7503.50408315349,8105.20223742826,3966.29754360352,139.441503817706
"Indústrias extrativas","grande_categoria",285,259.547321153605,250.795148257545,223.543371987311,191.542943868195,213.054403287233,175.840716895415,209.054403287233,241.256384169038,97.8069648012646,3
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,8612.3277634033,7951.78166170222,6517.58454629963,7533.39641277602,6583.99451642311,7294.44967986625,7863.94585325922,3868.49057880226,136.441503817706
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,1507.99907262263,1426.78014938408,1157.37517899368,1390.89792516115,1141.21950565075,1343.61875943742,1402.94569861661,703.993206093444,38.5529692706451
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,140.20930011062,130.921808786553,125.152779202595,130.085546535379,109.741534303287,121.798055211312,138.20930011062,66.7435582240502,0
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,17.0000000000013,17.0000000000013,12.0000000000008,15.000000000001,8.00000000000052,12.0000000000008,16.0000000000012,6.00000000000039,0
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,369.227918712421,329.448377871243,236.351699709525,320.551735004565,215.71553673542,281.423334114889,302.62982262992,180.057495880161,1
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,452.794568948537,389.14722913366,313.670939659665,379.781062956602,348.546139083204,345.965471714461,389.1613992129,193.915620686228,11.4218457070272
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,293.504838086255,269.595640675873,219.081115554192,267.593340044506,254.52724883447,292.504838086255,280.864073227046,183.429624926654,0
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,161.829967441164,149.502637432123,123.300286392034,123.690617101802,81.8482880264465,102.965220654986,144.588133496775,64.4740777307546,0
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,223.429105363771,196.583127483364,160.727763214496,185.974881986766,127.503649649104,182.069438080579,216.727104078296,73.2726660626957,0
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,76.7624012123757,71.4726438720025,61.1472650122649,70.2066352529806,53.8517339460635,61.5459974428586,62.6294511272576,33.9141041864667,0
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,137.879290478945,121.12215111696,120.321500605703,115.320141278902,100.404881652724,112.076714715772,122.147377059064,44.8565568204011,0
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,634.801130260774,591.155574745182,441.251481531451,581.570928319599,495.212392810265,512.681969293537,596.053309790976,258.575489201303,14.6407375424655
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,121.199469152238,116.072056809758,87.0585314305711,105.592405512038,86.2074520535614,95.5009963039219,112.284443368753,28.901485635608,0
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,694.867267482375,637.685874902522,569.083557651547,609.856522864242,526.064477082381,597.715220390441,639.474285064975,326.41116597927,0
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,381.452430773569,370.169461050323,284.05329899621,327.386116673053,300.219511732461,351.145193792466,353.031905398418,175.557375774766,1
"Metalurgia","categoria_detalhe",331.999999999996,284.231236252041,271.839363716804,249.787975911795,198.232269366905,260.91645106918,228.066354612169,239.799777248849,246.487105067421,130.312589927729,21.4892858071979
"Fabricação de produtos de metal","categoria_detalhe",604.99999999997,540.998184193112,534.539413248101,479.21567551312,474.877490528771,467.382860790528,396.01980401981,438.113513962458,504.335828081233,189.467698466139,0
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","categoria_detalhe",179.999999999992,171.577661579149,171.577661579149,165.165037805185,138.13659905428,143.314824785219,140.361981787958,158.319679182559,124.679580514521,65.0395052552712,0
"Fabricação de máquinas, aparelhos e materiais elétricos","categoria_detalhe",358.000000000012,347.211331658933,338.157169593362,292.164302248907,254.449955026914,287.787002244889,277.91907061572,295.106658034952,309.206320798067,146.71773890486,0
"Fabricação de máquinas e equipamentos","categoria_detalhe",725.000000000008,691.67108689572,691.67108689572,666.800146650552,443.539946529791,584.747470528364,570.442631560894,605.328706285948,622.64233766554,373.382375703347,11.5976518084908
"Fabricação de veículos automotores, reboques e carrocerias","categoria_detalhe",501.000000000008,444.073056608645,432.189581586857,405.520923507606,354.905348877936,367.610935919897,359.206697942423,386.193254108432,405.537687801421,176.037365259231,12.6197100861825
"Fabricação de outros equipamentos de transporte","categoria_detalhe",119,116.999999999999,116.999999999999,115.999999999998,96.1493501535195,91.1251262371116,93.5817420695659,90.0092176857138,107.43282429861,48.6179455387022,0
"Fabricação de móveis","categoria_detalhe",384.000000000002,334.33652378091,334.33652378091,293.02114946622,225.580062762904,274.494097245407,239.851269353751,265.435981467882,288.674415214441,135.094671459201,0
"Fabricação de produtos diversos","categoria_detalhe",249.999999999992,220.785143353875,210.975507085318,189.509465679906,158.509864544301,173.646958609157,180.609826009416,182.22010721878,183.118755364952,94.0598610501922,7.59341402261176
"Manutenção, reparação e instalação de máquinas e equipamentos","categoria_detalhe",348,297.084695271399,297.084695271399,277.94025165528,262.628261500367,258.862826654678,248.872786891262,220.911575431782,295.084695271399,169.658400035783,16.5258895730851
