"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_contribuiram_para_a_adocao_das_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_contribuiram_para_a_adocao_das_tecnologias_digitais_avancadas_influencia_de_fornecedores_e_ou_clientes","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_contribuiram_para_a_adocao_das_tecnologias_digitais_avancadas_influencia_da_concorrencia","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_contribuiram_para_a_adocao_das_tecnologias_digitais_avancadas_estrategia_autonoma_da_empresa","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_contribuiram_para_a_adocao_das_tecnologias_digitais_avancadas_atratividade_de_programas_de_apoio_publicos_ou_privados","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_contribuiram_para_a_adocao_das_tecnologias_digitais_avancadas_outros"
"Total Indústria","total",10166.8400102393,9054.21257129623,8889.14674687711,5670.70496648182,4696.10004359605,8023.81201072085,2535.38085211441,115.355961367471
"Indústrias extrativas","grande_categoria",285,259.547321153605,250.795148257545,166.91158305006,110.38906083781,216.91040972642,93.4798884978665,0
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,8638.35159861956,5503.79338343176,4585.71098275824,7806.90160099443,2441.90096361654,115.355961367471
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,1548.99412471613,901.766084823484,820.218163149557,1425.93902859117,435.210448766848,1
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,124.065751944978,105.510810674285,75.685901962124,122.065751944977,43.2402014529952,0
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,16.0000000000012,10.0000000000006,6.00000000000039,13.000000000001,2.00000000000026,1
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,370.687594492975,257.514999705875,166.815942286774,318.443978955959,31.3463571051602,1
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,440.688996840563,354.811104528587,311.725964414393,400.280509550515,144.541629444011,8.99318933540717
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,293.504838086255,196.458261427614,148.723303463664,267.713273453388,61.3299529780739,0
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,170.001671390564,81.5588897085606,62.731806525449,153.955284755772,38.5376072121243,1
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,223.429105363771,128.229042389607,82.8860387554324,213.403537081957,51.622371786781,0
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,76.7624012123757,53.4411255921317,41.7529674181717,65.0548207047792,21.693928774463,1
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,132.627725072747,69.1907258831494,77.1617134820699,109.069659689293,36.919064309411,1
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,634.801130260774,380.906318384425,326.322972792667,605.563393430937,183.087722382598,29.1078784435072
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,115.346201238213,69.1628253905807,71.7730027363946,114.346201238213,34.2276200047264,1
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,694.867267482375,446.490353244199,298.225881156111,622.754833909254,192.255116662359,12.1063089446044
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,381.315712541254,239.46876475319,201.906324702687,335.712926992726,96.3895720132887,1
"Metalurgia","categoria_detalhe",331.999999999996,284.231236252041,271.839363716804,192.271926798835,165.42181260083,211.698005722976,70.3201039748447,10.9229126476244
"Fabricação de produtos de metal","categoria_detalhe",604.99999999997,540.998184193112,539.998184193112,364.235867600443,253.420439131545,492.585151388719,138.147430902688,11.7495888910878
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","categoria_detalhe",179.999999999992,171.577661579149,171.577661579149,108.917440132023,87.8605743346034,163.920925115282,90.9465899248547,3.86129122872776
"Fabricação de máquinas, aparelhos e materiais elétricos","categoria_detalhe",358.000000000012,347.211331658933,347.211331658933,175.141388142052,184.397175088706,324.059672172253,82.7291335525579,8.9296694765017
"Fabricação de máquinas e equipamentos","categoria_detalhe",725.000000000008,691.67108689572,679.980315787649,445.751008188604,417.61210004599,634.290168241524,238.46987673159,2
"Fabricação de veículos automotores, reboques e carrocerias","categoria_detalhe",501.000000000008,444.073056608645,444.073056608645,284.276873985865,227.177295450902,387.254741663138,104.055904975643,1
"Fabricação de outros equipamentos de transporte","categoria_detalhe",119,116.999999999999,115.999999999998,65.3301700077938,57.2637640658085,99.0887028367168,56.6612347005184,10.912799282341
"Fabricação de móveis","categoria_detalhe",384.000000000002,334.33652378091,334.33652378091,188.880212993257,199.450886544555,281.730525324017,101.580518647111,5.77232311766918
"Fabricação de produtos diversos","categoria_detalhe",249.999999999992,220.785143353875,213.157945379987,133.727190985662,117.541591080283,180.705634339503,63.1444583883662,1
"Manutenção, reparação e instalação de máquinas e equipamentos","categoria_detalhe",348,297.084695271399,297.084695271399,250.751998091538,183.635361569526,264.264873891367,123.444118925528,1
