"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_algum_programa_de_apoio_publico_voltado_as_tecnologias_digitais_avancadas_total"
"Total Indústria","total",10166.8400102393,9054.21257129623,824.518451575519
"Indústrias extrativas","grande_categoria",285,259.547321153605,28.1075531722814
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,796.410898403238
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,113.77596939453
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,11.0565209080256
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,0
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,18.0862689358815
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,41.5746912920517
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,16.7046262054288
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,8.69508770178256
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,10.7020012854748
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,12.8967923849575
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,6.98969352375379
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,69.3655585689214
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,12.8573394430985
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,48.8905179814323
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,4.34028389193993
"Metalurgia","categoria_detalhe",331.999999999996,284.231236252041,37.0567598199726
"Fabricação de produtos de metal","categoria_detalhe",604.99999999997,540.998184193112,51.8038664853496
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","categoria_detalhe",179.999999999992,171.577661579149,48.6879140429311
"Fabricação de máquinas, aparelhos e materiais elétricos","categoria_detalhe",358.000000000012,347.211331658933,20.3007448510666
"Fabricação de máquinas e equipamentos","categoria_detalhe",725.000000000008,691.67108689572,90.5710489767568
"Fabricação de veículos automotores, reboques e carrocerias","categoria_detalhe",501.000000000008,444.073056608645,81.6368343593648
"Fabricação de outros equipamentos de transporte","categoria_detalhe",119,116.999999999999,14.2682554630884
"Fabricação de móveis","categoria_detalhe",384.000000000002,334.33652378091,36.9412462071475
"Fabricação de produtos diversos","categoria_detalhe",249.999999999992,220.785143353875,32.5514928079209
"Manutenção, reparação e instalação de máquinas e equipamentos","categoria_detalhe",348,297.084695271399,6.65738387236136
