"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_limitado_conhecimento_sobre_as_tecnologias_digitais_disponiveis","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_ausencia_e_ou_incertezas_sobre_regulacoes_padroes_ou_normas_tecnicas_associadas_as_novas_tecnologias","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_riscos_associados_a_seguranca_e_privacidade","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_dificuldade_de_integracao_entre_as_areas_de_negocios","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_dificuldade_de_integracao_com_fornecedores_e_ou_clientes","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_falta_de_pessoal_qualificado_na_empresa","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_limitada_oferta_de_pessoal_qualificado_no_mercado","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_dificuldades_relacionadas_a_interoperabilidade_entre_diferentes_tecnologias_digitais","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_altos_custos_das_solucoes_tecnologicas","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_infraestrutura_de_telecomunicacoes_inadequada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_outros"
"Total Indústria","total",10166.8400102393,9054.21257129623,8373.23992808259,3555.1411739423,3078.22359572451,4276.11380350689,4084.1360019715,2883.79006495048,4907.08202749658,4241.36470344794,3919.80008926752,7120.55325689091,3138.48357432535,100.989094003346
"Indústrias extrativas","grande_categoria",285,259.547321153605,215.724384590623,65.4766685203889,71.2488819241483,124.027415703175,136.666270220217,45.783046659833,101.390932395105,76.8481476077426,88.8902581850138,186.530667173942,60.5347989065038,17.9305132206986
"Indústrias de transformação","grande_categoria",9881.84001023925,8794.66525014263,8157.51554349196,3489.66450542191,3006.97471380036,4152.08638780372,3947.46973175128,2838.00701829064,4805.69109510147,4164.5165558402,3830.90983108251,6934.02258971697,3077.94877541885,83.0585807826474
"Fabricação de produtos alimentícios","categoria_detalhe",1832,1567.82445960497,1491.67094520844,642.870839470489,576.11665855422,815.50055466085,645.44664677088,407.690509775878,943.120574272134,873.816868323108,714.028115318754,1225.15110761469,525.300317213832,0
"Fabricação de bebidas","categoria_detalhe",157,148.553559129752,131.54358773168,35.5031099840152,33.5031099840152,80.0065653363683,66.0937407997275,35.882564974087,67.9894364465514,59.5582487510996,53.4829204008323,122.853637928031,43.9549312122854,0
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,17.0000000000013,12.0000000000008,4.00000000000039,3.00000000000013,7.00000000000026,4.00000000000026,3.00000000000013,5.00000000000065,7.00000000000065,3.00000000000026,9.00000000000052,3,0
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,380.630935155278,363.922413154287,124.36962062997,184.638446849886,229.812431100101,250.433236831895,185.10847494094,256.141202092775,192.100126703867,166.888349635211,331.359547166959,112.563978512686,2
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,468.435393248734,398.047337952464,197.616422105215,163.395013535818,182.976907355495,250.529202328053,190.949484884462,265.020611806441,233.82075565657,250.653527941938,354.741909694619,150.371888653609,14.136162430016
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,305.567670507916,295.378638636677,93.5109124955536,124.794601310238,91.2160025396864,126.603833893486,65.4353759777993,189.702093654707,179.491327176608,120.338337827085,243.176479118593,87.185378957161,1
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,170.001671390564,150.041760728608,83.9420837285324,63.9899864476851,70.6070179914842,72.2236335365257,58.0914124914258,94.0430161204142,70.0908060576815,54.575954902037,134.308247683812,44.1239491409166,0
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,205.949292713564,107.417720575326,83.6930336785117,120.65863423376,116.246804947711,80.6659324857032,113.16403615717,99.0798231459008,111.752390022636,167.396186351544,83.0942422692539,0
