"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_total","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_total","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_falta_de_conhecimento_sobre_as_tecnologias_e_seus_potenciais_beneficios","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_ausencia_e_ou_incertezas_sobre_regulacoes_padroes_ou_normas_tecnicas_associadas_as_novas_tecnologias","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_riscos_associados_a_seguranca_e_privacidade","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_falta_de_pessoal_qualificado_na_empresa","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_limitada_oferta_de_pessoal_qualificado_no_mercado","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_escassez_de_recursos_financeiros","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_altos_custos_das_solucoes_tecnologicas","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_escassez_de_oferta_de_programas_de_apoio_e_fomento_publicos_ou_privados","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_infraestrutura_de_telecomunicacoes_inadequada","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_a_empresa_nao_identificou_necessidade_de_adotar_tecnologias_digitais_avancadas_e_ou_informacao_em_formato_digital","numero_de_empresas_que_nao_adotaram_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_fatores_que_impossibilitaram_a_adocao_de_informacao_em_formato_digital_e_ou_tecnologias_digitais_avancadas_outros"
"Total Indústria","total",10166.8400102393,1112.62743894302,1059.57870286069,429.510774132764,452.474034166546,508.791867353472,673.978288562173,520.572056182147,565.402776706465,827.062710085774,539.565929425271,500.807898743269,601.027722008617,46.6264804062131
"Indústrias extrativas","grande_categoria",285,25.4526788463954,16.7218468310909,0,0,0,16.7218468310909,16.7218468310909,0,0,0,0,0,0
"Indústrias de transformação","grande_categoria",9881.84001023925,1087.17476009663,1042.8568560296,429.510774132764,452.474034166546,508.791867353472,657.256441731082,503.850209351056,565.402776706465,827.062710085774,539.565929425271,500.807898743269,601.027722008617,46.6264804062131
"Fabricação de produtos alimentícios","categoria_detalhe",1832,264.175540395028,264.175540395028,136.454985192798,176.873061674304,121.871459168976,188.719308050531,168.158046325712,146.704485107927,208.609667900939,163.750221010835,174.606125753053,148.509211150092,20.5478436873304
"Fabricação de bebidas","categoria_detalhe",157,8.44644087024817,8.44644087024817,0,0,8.44644087024817,0,0,0,8.44644087024817,0,0,8.44644087024817,0
"Fabricação de produtos do fumo","categoria_detalhe",21.840010239343,4.84001023934172,4.84001023934172,0,0,0,0,0,1.00000000000013,1.00000000000013,0,0,3.84001023934159,0
"Fabricação de produtos têxteis","categoria_detalhe",441.000000000002,60.3690648447235,48.0964543198352,12.8895750363744,23.938442877109,47.0964543198352,13.8895750363744,14.8895750363744,35.2835195755,48.0964543198352,26.2346517347654,12.8895750363744,25.7025097807096,0
"Confecção de artigos do vestuário e acessórios","categoria_detalhe",525,56.5646067512661,56.5646067512661,15.0324486225732,28.6014589878468,28.6014589878468,28.6014589878468,28.6014589878468,15.0324486225732,28.6014589878468,28.6014589878468,15.0324486225732,42.9955963859925,0
"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","categoria_detalhe",337.999999999993,32.4323294920769,32.4323294920769,23.2627315963305,22.2627315963305,22.2627315963305,23.2627315963305,23.2627315963305,20.0953635644005,21.0953635644005,10.1695978957463,10.9257656686541,23.2627315963305,0
"Fabricação de produtos de madeira","categoria_detalhe",223.000000000001,52.9983286094366,52.9983286094366,6.47620024885969,13.8274991818691,14.4916365760899,21.8663756524248,21.8663756524248,36.8033749516981,36.8033749516981,14.9369992992733,29.5927168786413,30.1943472239942,0
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,80.570894636225,71.7485858236087,36.651623044006,27.2964448121419,54.1314356942135,45.3530748749372,45.2486983907547,9.20685375434151,44.946555936542,27.6919767522021,45.6002823374749,53.6589947658083,0
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,3.2375987876238,3.2375987876238,0,0,0,3.2375987876238,0,3.2375987876238,3.2375987876238,3.2375987876238,0,0,0
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,6.98061496502722,6.98061496502722,0,0,0,6.98061496502722,6.98061496502722,0,1,6.98061496502722,6.98061496502722,0,0
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,27.1988697392014,27.1988697392014,0,0,0,14.1188684149183,0,13.0800013242831,27.1988697392014,27.1988697392014,14.1188684149183,13.0800013242831,0
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,11.8005308477594,11.8005308477594,5.9861574246478,0,5.9861574246478,5.9861574246478,5.9861574246478,5.81437342311163,5.81437342311163,5.9861574246478,0,5.9861574246478,0
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,57.1327325176311,43.035169811084,13.7804493939544,2,29.7030530314848,41.035169811084,13.9226036375304,43.035169811084,43.035169811084,27.7030530314848,13.9226036375304,41.035169811084,0
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,67.3961169948417,60.270694971865,30.5728458293415,20.0841552914076,10.7803561002066,60.270694971865,40.5328925356562,19.2638458975157,60.270694971865,39.3480011889233,30.0442019977223,28.2668649776229,10.4340032450078
"Metalurgia","categoria_detalhe",331.999999999996,47.7687637479543,47.7687637479543,35.6092267051454,24.229137765968,24.229137765968,35.6092267051454,12.1445476562006,47.7687637479543,47.7687637479543,23.524636595378,24.229137765968,47.7687637479543,0
